GSM1498304	s12A24HRV
GSM1498305	s14A24HRV
GSM1498306	s28A24HRV
GSM1498307	s18A24HRV
GSM1498308	s15A24HRV
GSM1498309	s26A24HRV
GSM1498310	s28A24Veh
GSM1498311	s12A24Veh
GSM1498312	s26A24Veh
GSM1498313	s15A24Veh
GSM1498314	s18A24Veh
GSM1498315	s14A24Veh
GSM1498316	s30N24HRV
GSM1498317	s23N24HRV
GSM1498318	s20N24HRV
GSM1498319	s11N24HRV
GSM1498320	s22N24HRV
GSM1498321	s21N24HRV
GSM1498322	s21N24Veh
GSM1498323	s23N24Veh
GSM1498324	s20N24Veh
GSM1498325	s22N24Veh
GSM1498326	s11N24Veh
GSM1498327	s30N24Veh
