UniqueCount	AmbigCount
0	0
0	0
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	3
0	1
0	0
7	2
0	0
0	2
0	0
0	0
0	0
0	0
1	12
0	0
0	3
0	3
0	3
0	0
0	0
0	3
0	0
0	1
0	1
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	8
0	0
0	5
0	2
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	3
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	260
118	2494
55	5444
0	3
0	78
0	2
1238	672
2	182
0	0
0	0
0	0
0	0
7	27
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	1
0	2
0	0
5	2
0	1
0	2
0	2
0	2
0	1
0	3
0	1
0	0
0	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	0
2	14
0	46
0	43
0	0
0	8
0	1
0	3
0	3
0	1
0	2
0	0
1	12
0	12
0	11
0	0
0	7
0	5
0	5
0	5
0	0
0	1
2	1
1	1
0	1
0	21
0	18
10	21
0	0
0	0
9	150
0	150
0	0
0	1
1	11
2	12
1	4
0	3
0	8
0	39
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
2	5
0	1
0	2
0	2
3	4
1	5
0	2
0	0
0	5
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
1	0
0	0
0	0
6	0
12	2
0	2
0	45
0	45
1	35
0	8
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	50
0	42
0	43
1	21
0	17
0	16
0	18
6	0
0	0
0	0
1	0
0	0
0	0
0	0
0	17
0	16
0	23
0	14
0	20
0	18
0	12
1	5
0	11
0	14
0	4
0	3
0	5
0	4
0	7
0	0
0	0
0	6
1	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	18
1	16
0	14
0	12
0	1
0	2
0	3
1	2
1	4
0	1
1	1
0	0
0	0
0	0
0	5
0	1
0	0
0	2
1	3
0	29
0	46
0	46
0	35
0	28
0	48
0	11
0	37
0	35
0	33
0	18
0	30
0	46
0	35
0	30
0	41
0	42
0	10
0	4
1	2
0	28
0	6
