UniqueCount	AmbigCount
0	0
0	0
0	11
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	1
0	0
0	0
4	0
0	0
0	3
0	1
0	0
0	0
0	0
0	15
0	0
1	2
0	2
0	2
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
1	0
0	0
0	0
0	2
0	0
0	4
0	2
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	1309
142	2547
95	5963
0	4
1	81
0	0
1205	631
1	214
0	0
0	0
0	0
0	0
4	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
2	0
0	2
0	1
0	2
0	0
0	0
0	1
0	1
0	0
0	2
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	6
0	24
0	23
0	0
0	6
0	0
3	2
0	2
1	0
0	1
0	1
1	8
0	9
0	9
0	1
0	2
0	6
0	6
0	6
7	0
0	7
2	4
4	6
1	1
1	692
0	566
384	692
0	0
0	0
20	397
0	397
0	0
0	0
0	20
3	21
1	4
0	3
0	14
6	151
0	22
0	1
0	0
0	1
0	0
0	1
0	1
1	0
5	0
0	9
0	5
0	8
0	7
2	7
0	9
0	8
0	3
0	9
0	5
0	4
0	5
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
6	0
2	1
0	1
1	13
0	13
0	13
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	55
0	38
0	43
0	25
0	16
0	20
0	14
3	0
0	0
0	0
1	0
0	0
0	0
0	0
0	18
0	18
0	21
0	14
0	14
0	16
0	11
0	3
0	10
0	14
0	0
0	6
0	7
0	4
0	2
0	1
0	1
0	3
1	1
0	0
0	0
0	0
0	4
0	4
0	4
0	4
0	0
0	4
0	0
0	4
0	10
0	10
0	7
0	4
0	0
0	0
0	0
0	0
0	3
0	2
1	1
0	1
1	0
0	0
0	3
0	0
0	0
0	0
0	3
0	10
0	17
0	17
0	11
0	15
0	19
0	8
0	11
0	11
2	10
0	10
1	11
0	17
0	11
0	9
0	16
0	14
0	5
0	1
0	2
0	12
0	2
