UniqueCount	AmbigCount
0	0
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
2	1
0	1
3	2
0	0
0	0
0	0
0	0
2	5
0	0
0	3
0	3
0	3
0	0
0	0
0	3
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	7
0	0
0	5
0	4
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	986
88	1556
63	3163
0	3
0	54
1	22
1037	353
1	72
0	0
0	0
0	0
0	0
11	19
0	1
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	1
0	0
0	2
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	8
1	17
0	19
0	0
0	1
0	0
1	0
0	1
0	1
0	0
0	0
0	11
1	11
0	9
0	0
0	6
0	3
0	3
0	3
3	0
0	3
1	2
0	3
0	0
0	383
0	300
311	383
0	0
0	0
5	349
0	350
0	0
0	0
0	17
3	14
1	1
0	4
0	7
5	139
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	4
0	3
0	4
0	4
0	2
0	4
0	4
0	0
0	2
0	3
0	3
0	3
0	2
1	2
0	1
0	2
0	1
0	1
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	17
0	17
0	16
0	8
0	0
0	0
0	0
0	4
0	4
0	3
0	0
0	0
0	0
0	35
0	25
0	27
1	17
0	12
0	7
0	13
4	0
0	0
0	0
0	0
0	0
0	0
2	0
0	12
0	12
0	17
0	10
0	13
0	14
0	8
0	1
0	8
0	13
0	2
0	4
0	4
0	4
0	5
0	0
0	0
0	3
0	2
2	0
0	0
0	0
0	4
0	3
1	3
0	3
0	0
0	4
0	0
0	1
0	7
0	7
0	3
0	5
0	0
0	1
0	1
0	0
0	2
0	1
0	1
0	1
0	0
0	0
0	3
0	0
0	0
0	1
0	2
0	13
0	25
0	25
0	13
0	22
0	27
0	4
0	14
0	13
0	10
0	11
0	13
0	25
0	13
0	12
0	26
0	25
0	4
0	1
0	0
0	20
0	1
